mgrs,date,datetime,ID,cloud_percent
54UVA,2022-03-09,2022-03-09T01:53:25.504000+00:00,S2A_54UVA_20220309_0_L1C,6.55931798501
54UVC,2023-07-12,2023-07-12T01:52:58.227000+00:00,S2A_54UVC_20230712_0_L1C,20.8342440801457
54UWC,2022-08-11,2022-08-11T01:52:51.899000+00:00,S2B_54UWC_20220811_0_L1C,40.5501008297795
54UYV,2023-11-08,2023-11-08T01:33:33.283000+00:00,S2B_54UYV_20231108_0_L1C,19.0393562065156
55JBK,2023-03-04,2023-03-04T00:34:33.839000+00:00,S2A_55JBK_20230304_0_L1C,0.0
55JBL,2022-06-22,2022-06-22T00:34:27.019000+00:00,S2B_55JBL_20220622_0_L1C,0.0
55JEJ,2022-11-11,2022-11-11T00:24:49.236000+00:00,S2A_55JEJ_20221111_0_L1C,0.303650522745454
55JEM,2023-03-06,2023-03-06T00:24:05.184000+00:00,S2B_55JEM_20230306_0_L1C,0.0
55JEN,2022-09-22,2022-09-22T00:23:54.979000+00:00,S2A_55JEN_20220922_0_L1C,0.0237092776732659
55JFJ,2022-03-08,2022-03-08T00:14:44.136000+00:00,S2B_55JFJ_20220308_0_L1C,10.3582370330556
56JLT,2022-04-04,2022-04-04T00:03:39.615000+00:00,S2B_56JLT_20220404_0_L1C,26.659140271942
56JMP,2023-04-04,2023-04-04T00:04:37.008000+00:00,S2A_56JMP_20230404_0_L1C,36.4683926065275
56JMQ,2023-10-21,2023-10-21T00:04:23.117000+00:00,S2A_56JMQ_20231021_0_L1C,0.139866821941533
56UQE,2022-02-21,2022-02-21T00:41:53.356000+00:00,S2B_56UQE_20220221_0_L1C,43.0126380091325
57VVC,2023-12-23,2023-12-23T00:41:12.166000+00:00,S2B_57VVC_20231223_0_L1C,5.80643025289629
60GUA,2023-06-29,2023-06-29T22:17:20.438000+00:00,S2A_60GUA_20230629_0_L1C,23.8682851085431
