,lat,lon,date
2586,36.55087088882791,61.56412438914753,2023-10-12
2587,29.049626228091498,47.584035783444726,2023-10-12
2595,33.614140082147685,42.58908662611067,2023-10-13
2598,38.73470988639394,64.6177556830713,2023-10-14
2599,39.46189385998472,53.77441750043373,2023-10-14
2609,40.04939572246552,61.045393164179096,2023-10-15
2616,28.637881262741946,7.616161710103517,2023-10-15
2621,38.64845026384141,54.28257721918777,2023-10-16
2622,37.92916689363855,53.92441374069118,2023-10-16
2623,38.55897889754063,54.20518441975496,2023-10-16
2624,39.46399036945211,53.788447319484334,2023-10-16
2625,38.8551625919668,54.23538498850583,2023-10-16
2626,39.35895806726776,53.79934945710326,2023-10-16
2627,38.33071363114275,54.02822093862393,2023-10-16
2628,39.46160722433123,53.77510341371729,2023-10-16
2634,30.352112727069255,46.834498228760495,2023-10-17
